                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73652,                 1.6985,                 3.7334,                 1.2942,                0.88541,                0.08258,                0.16311,                0.13928,                0.88541,                0.08258,                0.16319,                0.14666,                0.61785,                0.78314,                  4.088,                 1.4254,             0.00011838,             0.00011838,             0.00011838
                      2,                0.64845,                 1.1477,                 3.1365,                 1.1977,                0.48846,                0.17516,                0.17707,                0.16003,                0.48846,                0.17516,                0.17772,                0.15649,                0.62493,                0.73935,                 4.2223,                 1.3914,             0.00023444,             0.00023444,             0.00023444
                      3,                 0.7294,                 1.0835,                 2.9019,                 1.2489,                0.70724,                0.18788,                0.21907,                0.19365,                0.70724,                0.18788,                0.21911,                0.19015,                0.66624,                  0.817,                 5.4985,                 1.5661,             0.00034756,             0.00034756,             0.00034756
                      4,                0.71107,                 1.1985,                 2.8276,                 1.2062,                0.59807,                0.07594,                0.14081,                0.12702,                0.59807,                0.07594,                0.14116,                0.12038,                0.76007,                0.85668,                 4.4684,                 1.4967,             0.00034375,             0.00034375,             0.00034375
                      5,                0.66407,                0.88685,                 2.6489,                 1.1859,                0.43146,                0.20833,                0.16714,                0.14372,                0.43146,                0.20833,                0.16714,                0.14688,                0.65242,                0.67625,                 5.4421,                 1.5164,             0.00034375,             0.00034375,             0.00034375
                      6,                0.68465,                0.92334,                 2.6115,                 1.1983,                0.37316,                0.10417,                   0.11,                0.09579,                0.37316,                0.10417,                0.10953,                0.09862,                0.68852,                0.67608,                 5.1667,                 1.3842,             0.00033933,             0.00033933,             0.00033933
                      7,                0.68027,                 1.0317,                 2.4604,                 1.1928,                0.19299,                0.20833,                0.18721,                0.16152,                0.19299,                0.20833,                0.18721,                0.16942,                0.66921,                0.64627,                 4.8505,                 1.4694,             0.00033491,             0.00033491,             0.00033491
                      8,                0.69791,                0.96053,                 2.4241,                 1.2188,                0.20703,                0.16667,                0.19239,                0.17647,                0.20703,                0.16667,                0.19239,                0.18143,                0.75398,                0.71777,                 5.1958,                  1.543,             0.00033049,             0.00033049,             0.00033049
                      9,                0.67499,                0.95949,                 2.2606,                 1.1734,                0.33612,                0.18412,                0.15932,                0.13811,                0.33612,                0.18412,                0.15932,                0.14522,                0.69616,                  0.665,                 5.8933,                 1.4838,             0.00032607,             0.00032607,             0.00032607
                     10,                0.71373,                0.96138,                 2.2523,                 1.2295,                0.12356,                0.24508,                 0.1982,                0.16931,                0.12356,                0.24508,                 0.1982,                  0.173,                0.71023,                0.68829,                  5.207,                 1.5303,             0.00032166,             0.00032166,             0.00032166
                     11,                0.66243,                 1.0381,                 2.1865,                  1.149,                0.39907,                0.16233,                0.17088,                0.15539,                0.39907,                0.16233,                0.17088,                0.15748,                0.54775,                0.66231,                 9.2818,                 1.2821,             0.00031724,             0.00031724,             0.00031724
                     12,                  0.687,                 1.0332,                 2.1271,                 1.1748,                0.24632,                0.13927,                0.14211,                0.12534,                0.24632,                0.13927,                0.14211,                0.13116,                0.68529,                0.70119,                  5.416,                 1.3904,             0.00031282,             0.00031282,             0.00031282
                     13,                0.66576,                0.97145,                 2.2026,                 1.1737,                0.13562,                0.19695,                0.19302,                0.17033,                0.13562,                0.19695,                0.19302,                0.17362,                0.62705,                0.58934,                 6.2017,                 1.4151,              0.0003084,              0.0003084,              0.0003084
                     14,                0.60807,                0.83537,                  1.958,                  1.146,                0.19752,                 0.1875,                0.19406,                0.17061,                0.19752,                 0.1875,                0.19418,                0.17875,                0.70421,                0.61832,                 5.9995,                 1.5055,             0.00030399,             0.00030399,             0.00030399
                     15,                0.57858,                0.82318,                 1.8553,                 1.1247,                0.14966,                 0.1875,                0.18406,                0.16798,                0.14966,                 0.1875,                 0.1842,                0.17364,                0.62491,                0.61707,                 5.6534,                  1.363,             0.00029957,             0.00029957,             0.00029957
                     16,                0.61496,                0.83954,                 1.8599,                 1.1329,                0.17473,                0.20833,                0.18449,                 0.1656,                0.17473,                0.20833,                0.18462,                0.17257,                0.59182,                0.63888,                 6.3304,                 1.2921,             0.00029515,             0.00029515,             0.00029515
                     17,                0.62475,                0.91512,                 1.7926,                  1.151,                0.31003,                0.12849,                0.18236,                0.16347,                0.31003,                0.12849,                0.18241,                 0.1681,                0.57046,                0.57548,                 6.3759,                 1.2795,             0.00029073,             0.00029073,             0.00029073
                     18,                0.57548,                0.98751,                 1.6362,                 1.1036,                0.43217,                  0.125,                0.14997,                0.14166,                0.43217,                  0.125,                0.15016,                0.13616,                0.53353,                0.58301,                 6.3828,                 1.2906,             0.00028631,             0.00028631,             0.00028631
                     19,                0.56192,                0.90432,                 1.6267,                 1.1006,                0.19651,                0.12745,                0.15182,                0.14246,                0.19651,                0.12745,                0.15182,                0.13592,                0.57707,                0.66077,                 5.9348,                 1.2862,              0.0002819,              0.0002819,              0.0002819
                     20,                0.55618,                0.94391,                 1.5242,                 1.1084,                0.13896,                0.13122,                0.16092,                0.15224,                0.13896,                0.13122,                 0.1612,                0.14611,                0.56165,                0.62922,                 6.4424,                 1.3133,             0.00027748,             0.00027748,             0.00027748
                     21,                0.57753,                0.91317,                 1.5568,                 1.1259,                0.18116,                  0.125,                0.17098,                0.15912,                0.18116,                  0.125,                0.17098,                0.15427,                0.53093,                0.59683,                 6.3198,                 1.2762,             0.00027306,             0.00027306,             0.00027306
                     22,                0.55413,                0.83242,                  1.459,                 1.0998,                0.23306,                0.16667,                0.16377,                0.15211,                0.23306,                0.16667,                0.16448,                0.15392,                0.48133,                0.58766,                 5.8911,                 1.1661,             0.00026864,             0.00026864,             0.00026864
                     23,                0.56042,                0.81574,                 1.5164,                 1.0936,                0.27457,                0.12721,                0.15621,                0.14424,                0.27457,                0.12721,                0.15621,                0.14326,                 0.4808,                0.54441,                 6.2203,                 1.1562,             0.00026422,             0.00026422,             0.00026422
                     24,                 0.5644,                0.95983,                 1.4541,                 1.0918,                0.20053,                  0.125,                0.13858,                 0.1289,                0.20053,                  0.125,                0.13858,                0.12499,                0.52317,                0.57255,                 7.3677,                 1.2385,             0.00025981,             0.00025981,             0.00025981
                     25,                 0.5166,                0.84492,                 1.3945,                 1.0632,                0.11914,                 0.1311,                0.15406,                 0.1459,                0.11914,                 0.1311,                0.15406,                0.14501,                0.48804,                0.58418,                 6.1062,                  1.151,             0.00025539,             0.00025539,             0.00025539
                     26,                0.52275,                0.77365,                 1.4057,                 1.0716,                0.20526,                0.12826,                0.16605,                0.15701,                0.20526,                0.12826,                  0.167,                0.15474,                0.48478,                0.56478,                 5.7019,                 1.1703,             0.00025097,             0.00025097,             0.00025097
                     27,                0.53811,                0.79482,                 1.2658,                 1.0633,                 0.3625,                  0.125,                0.14176,                 0.1312,                 0.3625,                  0.125,                0.14176,                0.13138,                0.52714,                 0.5371,                 6.4585,                 1.1801,             0.00024655,             0.00024655,             0.00024655
                     28,                0.50719,                0.86304,                 1.3479,                 1.0667,                0.15403,                  0.125,                0.14656,                0.14117,                0.15403,                  0.125,                0.14656,                0.13982,                0.52507,                0.52889,                 6.1195,                 1.1743,             0.00024214,             0.00024214,             0.00024214
                     29,                0.51464,                0.78518,                 1.1851,                 1.0763,                0.11559,                  0.125,                0.14456,                0.13394,                0.11559,                  0.125,                0.14456,                0.13515,                0.55539,                0.53673,                 6.5267,                 1.2421,             0.00023772,             0.00023772,             0.00023772
                     30,                0.49173,                0.82038,                 1.2554,                 1.0693,                0.11705,                  0.125,                0.15288,                0.14172,                0.11705,                  0.125,                0.15288,                0.13909,                0.52594,                0.55645,                 6.7373,                 1.2439,              0.0002333,              0.0002333,              0.0002333
                     31,                0.51463,                0.78428,                 1.1894,                 1.0689,                0.24422,                  0.125,                0.14214,                0.13748,                0.24422,                  0.125,                0.14214,                0.13296,                0.52383,                  0.533,                 5.6955,                  1.226,             0.00022888,             0.00022888,             0.00022888
                     32,                0.47883,                0.85929,                 1.1035,                 1.0392,                0.11068,                  0.125,                0.13074,                0.12208,                0.11068,                  0.125,                0.13074,                0.12289,                0.57864,                0.53602,                 6.2203,                 1.2652,             0.00022446,             0.00022446,             0.00022446
                     33,                0.49473,                0.74771,                 1.0966,                 1.0673,                0.11749,                  0.125,                 0.1289,                 0.1205,                0.11749,                  0.125,                 0.1289,                0.12034,                0.53868,                0.53623,                 7.3128,                 1.2004,             0.00022005,             0.00022005,             0.00022005
                     34,                0.44962,                0.73777,                 1.0331,                 1.0279,                0.16389,                  0.125,                0.12956,                0.12703,                0.16389,                  0.125,                0.12972,                0.12513,                0.49989,                0.53174,                 6.8175,                 1.1341,             0.00021563,             0.00021563,             0.00021563
                     35,                0.46594,                0.73428,                 1.1092,                 1.0316,                0.37225,                  0.125,                 0.1345,                0.12982,                0.37225,                  0.125,                 0.1345,                0.12958,                 0.4901,                0.66564,                 6.2158,                 1.1209,             0.00021121,             0.00021121,             0.00021121
                     36,                0.46043,                0.87816,                 1.0048,                 1.0272,                0.16172,                  0.125,                0.14166,                0.13456,                0.16172,                  0.125,                0.14166,                0.13514,                0.47165,                0.64691,                 6.5731,                 1.1169,             0.00020679,             0.00020679,             0.00020679
                     37,                0.44836,                0.77319,                0.96403,                 1.0199,                 0.1628,                  0.125,                0.13566,                0.13258,                 0.1628,                  0.125,                0.13566,                0.12933,                0.44407,                0.66722,                 6.4714,                 1.0899,             0.00020237,             0.00020237,             0.00020237
                     38,                0.48261,                0.81236,                0.98172,                 1.0816,                0.16328,                  0.125,                 0.1379,                0.12973,                0.16328,                  0.125,                 0.1379,                0.12848,                0.47718,                0.65654,                 6.6146,                 1.1189,             0.00019796,             0.00019796,             0.00019796
                     39,                0.45909,                 0.7157,                0.97221,                 1.0322,                 0.2022,                  0.125,                0.14379,                0.13933,                 0.2022,                  0.125,                0.14379,                0.13393,                0.54487,                0.61462,                 6.4079,                 1.1861,             0.00019354,             0.00019354,             0.00019354
                     40,                0.45923,                0.81185,                0.98793,                 1.0387,                0.14187,                  0.125,                0.13612,                 0.1289,                0.14187,                  0.125,                0.13612,                0.12691,                0.50357,                0.59204,                 6.1818,                 1.1693,             0.00018912,             0.00018912,             0.00018912
                     41,                0.46626,                0.75321,                 1.0495,                 1.0324,                0.20483,                  0.125,                0.13741,                0.13048,                0.20483,                  0.125,                0.13741,                0.12809,                0.51211,                0.57455,                 6.4125,                   1.18,              0.0001847,              0.0001847,              0.0001847
                     42,                0.46699,                 0.7367,                 1.0191,                  1.033,                0.24613,                  0.125,                0.12727,                0.12724,                0.24613,                  0.125,                0.12727,                0.12092,                0.47394,                0.51915,                 6.2083,                 1.1399,             0.00018028,             0.00018028,             0.00018028
                     43,                0.43845,                 0.7713,                0.96128,                 1.0322,                0.20502,                  0.125,                0.13431,                0.13358,                0.20502,                  0.125,                0.13431,                0.12492,                0.48647,                0.54513,                 7.2282,                 1.1362,             0.00017587,             0.00017587,             0.00017587
                     44,                0.45493,                0.69973,                0.96202,                 1.0271,                0.11632,                  0.125,                0.13431,                0.13041,                0.11632,                  0.125,                0.13431,                0.12511,                0.48423,                0.51973,                 6.7616,                 1.1591,             0.00017145,             0.00017145,             0.00017145
                     45,                0.41298,                0.76343,                0.81804,                 1.0207,                0.11674,                  0.125,                 0.1308,                0.12617,                0.11674,                  0.125,                 0.1308,                0.12199,                0.47338,                0.52233,                 6.2757,                 1.1261,             0.00016703,             0.00016703,             0.00016703
                     46,                0.42978,                0.77288,                0.82794,                 1.0061,                0.16236,                  0.125,                0.12553,                0.12139,                0.16236,                  0.125,                0.12553,                0.11712,                0.49263,                0.53675,                 6.5751,                 1.1874,             0.00016261,             0.00016261,             0.00016261
                     47,                0.44256,                0.79902,                0.84597,                 1.0208,                0.16213,                  0.125,                0.12437,                0.12235,                0.16213,                  0.125,                0.12437,                0.11608,                0.47787,                0.55773,                 6.3119,                 1.1481,              0.0001582,              0.0001582,              0.0001582
                     48,                0.43147,                0.71993,                0.84087,                 1.0071,                0.11792,                  0.125,                0.12437,                0.11936,                0.11792,                  0.125,                0.12437,                0.11828,                0.46064,                0.58575,                 6.6005,                 1.1258,             0.00015378,             0.00015378,             0.00015378
                     49,                0.41463,                0.71158,                0.78011,                 1.0024,                0.11701,                  0.125,                0.12437,                0.12134,                0.11701,                  0.125,                0.12437,                0.11608,                0.42927,                0.59278,                 6.5181,                 1.1029,             0.00014936,             0.00014936,             0.00014936
                     50,                0.43062,                0.80751,                0.80812,                 1.0173,                0.11371,                  0.125,                0.12437,                0.12437,                0.11371,                  0.125,                0.12437,                0.11608,                0.45427,                0.61079,                 6.1495,                 1.1068,             0.00014494,             0.00014494,             0.00014494
                     51,                0.42282,                0.69585,                0.81985,                 1.0139,                 0.1156,                  0.125,                0.12437,                0.12437,                 0.1156,                  0.125,                0.12437,                0.12023,                0.46913,                0.57374,                 6.5003,                 1.1159,             0.00014052,             0.00014052,             0.00014052
                     52,                0.41502,                0.85995,                0.78673,                 1.0031,                0.16205,                  0.125,                0.12437,                0.12153,                0.16205,                  0.125,                0.12437,                0.11608,                0.44693,                0.58848,                 6.7246,                 1.1281,             0.00013611,             0.00013611,             0.00013611
                     53,                0.40549,                0.79849,                 0.7764,                 1.0014,                0.20389,                  0.125,                0.12437,                0.12153,                0.20389,                  0.125,                0.12437,                0.11608,                0.43897,                0.56124,                 6.4977,                 1.1326,             0.00013169,             0.00013169,             0.00013169
